date,station_id,season,temperature,humidity,wind_speed,wind_direction,rainfall
2016-06-05,C0F9Y0,summer,10.1,82,2.5,198,
2016-06-06,C0F9Y0,summer,8.5,94,2.5,215,
2016-06-07,C0F9Y0,summer,8.7,97,1.6,192,
2016-06-08,C0F9Y0,summer,8.5,97,2.3,188,
2016-06-09,C0F9Y0,summer,9.2,87,2.1,11,
2016-06-10,C0F9Y0,summer,9.7,96,1.7,188,
2016-06-11,C0F9Y0,summer,9.7,100,4.3,204,
2016-06-12,C0F9Y0,summer,9.2,100,4.8,214,
2016-06-13,C0F9Y0,summer,9.1,98,5.9,225,
2016-06-14,C0F9Y0,summer,8.8,99,4.9,204,
2016-06-15,C0F9Y0,summer,10.1,87,5.2,197,
2016-06-16,C0F9Y0,summer,10.1,81,4.2,213,
2016-06-17,C0F9Y0,summer,10.8,78,3.3,203,
2016-06-18,C0F9Y0,summer,10.8,74,3.3,210,
2016-06-19,C0F9Y0,summer,11.3,71,2.5,192,
2016-06-20,C0F9Y0,summer,10.0,80,2.1,204,
2016-06-21,C0F9Y0,summer,10.7,79,2.4,200,
2016-06-22,C0F9Y0,summer,11.3,78,1.3,48,
2016-06-23,C0F9Y0,summer,11.4,87,2.0,6,
2016-06-24,C0F9Y0,summer,12.0,78,1.7,187,
2016-06-25,C0F9Y0,summer,11.4,85,1.9,190,
2016-06-26,C0F9Y0,summer,11.1,84,2.4,195,
2016-06-27,C0F9Y0,summer,11.4,78,2.8,194,
2016-06-28,C0F9Y0,summer,11.5,81,3.5,198,
2016-06-29,C0F9Y0,summer,11.4,71,2.4,200,
2016-06-30,C0F9Y0,summer,10.7,80,2.4,195,
2016-07-01,C0F9Y0,summer,11.1,73,2.6,199,
2016-07-02,C0F9Y0,summer,11.0,80,2.8,201,
2016-07-03,C0F9Y0,summer,10.9,80,2.2,190,
2016-07-04,C0F9Y0,summer,10.2,79,2.7,191,
2016-07-05,C0F9Y0,summer,11.4,68,3.9,193,
2016-07-06,C0F9Y0,summer,11.8,71,2.9,194,
2016-07-07,C0F9Y0,summer,10.1,97,2.8,177,
2016-07-08,C0F9Y0,summer,10.2,100,7.5,202,
2016-07-09,C0F9Y0,summer,11.4,99,4.7,204,
2016-07-10,C0F9Y0,summer,11.0,99,2.7,201,
2016-07-11,C0F9Y0,summer,10.6,100,3.9,209,
2016-07-12,C0F9Y0,summer,10.4,100,4.4,198,
2016-07-13,C0F9Y0,summer,10.4,96,3.9,211,
2016-07-14,C0F9Y0,summer,11.5,85,3.2,188,
2016-07-15,C0F9Y0,summer,12.7,69,2.0,208,
2016-07-16,C0F9Y0,summer,13.0,59,2.7,198,
2016-07-17,C0F9Y0,summer,11.3,72,2.2,192,
2016-07-18,C0F9Y0,summer,9.7,79,1.6,191,
2016-07-19,C0F9Y0,summer,9.8,81,2.2,209,
2016-07-20,C0F9Y0,summer,10.9,83,2.4,198,
2016-07-21,C0F9Y0,summer,11.4,75,1.5,167,
2016-07-22,C0F9Y0,summer,11.4,74,1.1,319,
2016-07-23,C0F9Y0,summer,11.2,66,0.8,6,
2016-07-24,C0F9Y0,summer,12.5,54,1.3,12,
2016-07-25,C0F9Y0,summer,13.0,56,1.6,5,
2016-07-26,C0F9Y0,summer,10.5,72,1.3,328,
2016-07-27,C0F9Y0,summer,10.6,61,1.3,358,
2016-07-28,C0F9Y0,summer,10.9,67,1.1,349,
2016-07-29,C0F9Y0,summer,9.9,68,0.8,3,
2016-07-30,C0F9Y0,summer,11.2,71,1.6,20,
2016-07-31,C0F9Y0,summer,11.5,79,3.9,192,
2016-08-01,C0F9Y0,summer,9.3,100,6.2,202,
2016-08-02,C0F9Y0,summer,10.7,94,2.7,199,
2016-08-03,C0F9Y0,summer,10.7,91,2.6,193,
2016-08-04,C0F9Y0,summer,11.1,79,1.5,340,
2016-08-05,C0F9Y0,summer,10.6,89,1.5,15,
2016-08-06,C0F9Y0,summer,10.2,97,0.9,343,
2016-08-07,C0F9Y0,summer,10.3,91,1.2,337,
2016-08-08,C0F9Y0,summer,10.9,87,1.4,325,
2016-08-09,C0F9Y0,summer,10.2,80,2.0,1,
2016-08-10,C0F9Y0,summer,11.4,87,1.9,198,
2016-08-11,C0F9Y0,summer,10.4,100,2.8,199,
2016-08-12,C0F9Y0,summer,10.2,99,3.6,193,
2016-08-13,C0F9Y0,summer,9.2,98,6.0,187,
2016-08-14,C0F9Y0,summer,11.6,84,4.3,195,
2016-08-15,C0F9Y0,summer,11.9,77,5.3,194,
2016-08-16,C0F9Y0,summer,12.2,81,3.6,196,
2016-08-17,C0F9Y0,summer,11.2,93,2.1,200,
2016-08-18,C0F9Y0,summer,10.6,98,1.9,192,
2016-08-19,C0F9Y0,summer,10.2,91,1.4,200,
2016-08-20,C0F9Y0,summer,10.2,88,1.0,323,
2016-08-21,C0F9Y0,summer,11.3,72,1.4,65,
2016-08-22,C0F9Y0,summer,11.7,66,1.0,12,
2016-08-23,C0F9Y0,summer,11.9,72,0.9,37,0.0
2016-08-24,C0F9Y0,summer,11.1,66,1.1,24,0.0
2016-08-25,C0F9Y0,summer,10.9,68,1.3,32,0.0
2016-08-26,C0F9Y0,summer,11.6,57,1.0,3,0.0
2016-08-27,C0F9Y0,summer,11.5,73,1.0,356,3.0
2016-08-28,C0F9Y0,summer,10.2,90,1.7,243,1.5
2016-08-29,C0F9Y0,summer,8.8,98,2.7,254,2.0
2016-08-30,C0F9Y0,summer,8.6,97,3.2,203,2.0
2016-08-31,C0F9Y0,summer,9.4,87,2.9,199,0.5
2016-09-01,C0F9Y0,autumn,10.9,81,2.0,338,0.0
2016-09-02,C0F9Y0,autumn,10.5,92,1.7,23,14.5
2016-09-03,C0F9Y0,autumn,10.4,95,1.8,53,45.0
2016-09-04,C0F9Y0,autumn,10.7,94,3.5,188,0.0
2016-09-05,C0F9Y0,autumn,11.5,88,2.5,201,0.0
2016-09-06,C0F9Y0,autumn,10.8,91,2.1,197,7.0
2016-09-07,C0F9Y0,autumn,10.2,100,3.4,207,0.5
2016-09-08,C0F9Y0,autumn,10.0,100,3.1,203,1.0
2016-09-09,C0F9Y0,autumn,10.1,100,1.8,201,93.5
2016-09-10,C0F9Y0,autumn,10.0,97,2.0,198,10.0
2016-09-11,C0F9Y0,autumn,10.3,86,2.5,201,0.0
2016-09-12,C0F9Y0,autumn,10.9,83,1.5,1,0.0
2016-09-13,C0F9Y0,autumn,10.5,91,3.0,150,6.5
2016-09-14,C0F9Y0,autumn,8.8,100,9.9,183,82.0
2016-09-15,C0F9Y0,autumn,8.4,100,4.5,200,17.5
2016-09-16,C0F9Y0,autumn,9.4,94,3.3,197,1.0
2016-09-17,C0F9Y0,autumn,9.5,100,3.2,278,63.5
2016-09-18,C0F9Y0,autumn,9.6,99,2.2,156,41.0
2016-09-19,C0F9Y0,autumn,9.5,89,1.7,211,0.5
2016-09-20,C0F9Y0,autumn,8.4,93,2.3,207,0.0
2016-09-21,C0F9Y0,autumn,7.9,95,3.6,203,0.0
2016-09-22,C0F9Y0,autumn,9.5,75,1.9,153,0.0
2016-09-23,C0F9Y0,autumn,9.1,96,2.0,197,0.0
2016-09-24,C0F9Y0,autumn,9.8,91,1.9,195,0.5
2016-09-25,C0F9Y0,autumn,11.1,73,1.4,319,0.0
2016-09-26,C0F9Y0,autumn,10.3,78,2.5,9,40.5
2016-09-27,C0F9Y0,autumn,10.7,100,5.3,199,623.0
2016-09-28,C0F9Y0,autumn,9.6,98,5.9,202,13.5
2016-09-29,C0F9Y0,autumn,9.7,96,2.9,195,0.0
2016-09-30,C0F9Y0,autumn,9.5,92,4.1,199,12.5
2016-10-01,C0F9Y0,autumn,9.0,93,4.3,195,0.0
2016-10-02,C0F9Y0,autumn,9.8,67,2.6,192,0.0
2016-10-03,C0F9Y0,autumn,9.2,71,0.9,1,0.0
2016-10-04,C0F9Y0,autumn,9.9,78,1.7,2,0.5
2016-10-05,C0F9Y0,autumn,11.1,77,3.7,190,0.5
2016-10-06,C0F9Y0,autumn,8.3,100,7.3,194,16.5
2016-10-07,C0F9Y0,autumn,8.7,100,5.4,193,41.5
2016-10-08,C0F9Y0,autumn,9.1,100,2.6,200,10.5
2016-10-09,C0F9Y0,autumn,8.8,100,3.1,191,9.5
2016-10-10,C0F9Y0,autumn,9.2,98,1.8,213,1.5
2016-10-11,C0F9Y0,autumn,10.0,93,1.9,192,11.5
2016-10-12,C0F9Y0,autumn,9.7,88,2.4,200,7.0
2016-10-13,C0F9Y0,autumn,8.4,97,2.4,191,0.0
2016-10-14,C0F9Y0,autumn,9.1,93,2.1,200,6.0
2016-10-15,C0F9Y0,autumn,9.5,91,3.6,193,0.5
2016-10-16,C0F9Y0,autumn,10.4,72,6.1,192,0.0
2016-10-17,C0F9Y0,autumn,10.3,77,5.8,192,0.0
2016-10-18,C0F9Y0,autumn,10.3,82,4.9,193,0.0
2016-10-19,C0F9Y0,autumn,11.0,70,6.0,193,0.0
2016-10-20,C0F9Y0,autumn,8.7,99,8.5,193,3.5
2016-10-21,C0F9Y0,autumn,9.5,100,3.1,203,6.0
2016-10-22,C0F9Y0,autumn,9.9,93,4.4,203,0.0
2016-10-23,C0F9Y0,autumn,9.9,87,3.5,209,0.5
2016-10-24,C0F9Y0,autumn,9.5,88,1.9,209,0.0
2016-10-25,C0F9Y0,autumn,10.0,79,2.3,193,0.0
2016-10-26,C0F9Y0,autumn,11.9,67,1.6,1,0.0
2016-10-27,C0F9Y0,autumn,11.9,57,3.0,190,0.0
2016-10-28,C0F9Y0,autumn,10.2,64,2.2,191,0.0
2016-10-29,C0F9Y0,autumn,9.6,79,2.1,178,0.5
2016-10-30,C0F9Y0,autumn,9.6,82,1.9,240,0.5
2016-10-31,C0F9Y0,autumn,9.3,69,1.5,176,0.0
2016-11-01,C0F9Y0,autumn,9.0,65,2.2,193,0.0
2016-11-02,C0F9Y0,autumn,7.6,71,1.6,333,0.0
2016-11-03,C0F9Y0,autumn,7.1,63,1.5,225,0.0
2016-11-04,C0F9Y0,autumn,5.2,62,2.3,204,0.0
2016-11-05,C0F9Y0,autumn,6.6,33,2.3,296,0.0
2016-11-06,C0F9Y0,autumn,6.1,63,1.7,315,0.0
2016-11-07,C0F9Y0,autumn,6.4,69,1.7,228,0.0
2016-11-08,C0F9Y0,autumn,6.9,83,1.7,345,0.0
2016-11-09,C0F9Y0,autumn,7.4,84,2.8,202,0.0
2016-11-10,C0F9Y0,autumn,4.9,89,2.4,11,11.5
2016-11-11,C0F9Y0,autumn,5.9,70,2.7,227,0.0
2016-11-12,C0F9Y0,autumn,6.7,89,2.1,326,0.0
2016-11-13,C0F9Y0,autumn,8.2,76,1.6,4,0.0
2016-11-14,C0F9Y0,autumn,7.8,59,1.6,302,0.0
2016-11-15,C0F9Y0,autumn,6.3,71,1.4,326,0.0
2016-11-16,C0F9Y0,autumn,6.2,67,2.2,194,0.0
2016-11-17,C0F9Y0,autumn,9.0,46,2.5,225,0.0
2016-11-18,C0F9Y0,autumn,7.9,92,2.3,221,2.0
2016-11-19,C0F9Y0,autumn,7.5,90,2.8,216,0.5
2016-11-20,C0F9Y0,autumn,8.1,81,3.2,216,6.0
2016-11-21,C0F9Y0,autumn,6.3,99,2.9,223,25.0
2016-11-22,C0F9Y0,autumn,6.4,95,2.0,214,22.0
2016-11-23,C0F9Y0,autumn,4.8,97,3.0,198,43.0
2016-11-24,C0F9Y0,autumn,4.9,93,2.9,220,0.0
2016-11-25,C0F9Y0,autumn,4.9,87,3.0,193,1.0
2016-11-26,C0F9Y0,autumn,5.9,95,3.1,213,5.5
2016-11-27,C0F9Y0,autumn,4.1,85,2.5,194,22.0
2016-11-28,C0F9Y0,autumn,6.2,21,2.5,202,0.0
2016-11-29,C0F9Y0,autumn,6.0,74,1.9,208,0.0
2016-11-30,C0F9Y0,autumn,5.3,98,1.6,196,7.0
2016-12-01,C0F9Y0,winter,4.6,87,2.7,218,0.0
2016-12-02,C0F9Y0,winter,5.9,68,2.7,211,0.0
2016-12-03,C0F9Y0,winter,6.1,76,2.2,210,0.0
2016-12-04,C0F9Y0,winter,6.2,82,3.2,220,0.0
2016-12-05,C0F9Y0,winter,6.6,84,3.0,211,0.0
2016-12-06,C0F9Y0,winter,5.8,69,2.5,219,0.0
2016-12-07,C0F9Y0,winter,6.1,50,2.2,250,0.0
2016-12-08,C0F9Y0,winter,5.3,53,3.0,249,0.0
2016-12-09,C0F9Y0,winter,5.3,47,2.7,208,0.0
2016-12-10,C0F9Y0,winter,2.7,60,2.2,207,0.0
2016-12-11,C0F9Y0,winter,2.7,95,4.4,206,0.0
2016-12-12,C0F9Y0,winter,2.0,78,2.9,207,0.0
2016-12-13,C0F9Y0,winter,2.9,61,2.8,236,0.0
2016-12-14,C0F9Y0,winter,2.1,73,2.6,251,0.0
2016-12-15,C0F9Y0,winter,0.9,89,4.1,250,0.0
2016-12-16,C0F9Y0,winter,0.0,87,3.3,296,0.0
2016-12-17,C0F9Y0,winter,-0.1,67,2.2,271,0.0
2016-12-18,C0F9Y0,winter,2.5,49,2.5,9,0.0
2016-12-19,C0F9Y0,winter,4.8,47,3.3,204,0.0
2016-12-20,C0F9Y0,winter,6.5,65,1.7,204,0.0
2016-12-21,C0F9Y0,winter,6.8,83,2.4,223,0.0
2016-12-22,C0F9Y0,winter,5.2,93,3.5,233,2.0
2016-12-23,C0F9Y0,winter,3.8,67,2.6,236,0.0
2016-12-24,C0F9Y0,winter,3.5,76,2.1,237,0.0
2016-12-25,C0F9Y0,winter,3.5,84,2.3,210,0.0
2016-12-26,C0F9Y0,winter,4.0,71,1.3,215,0.0
2016-12-27,C0F9Y0,winter,4.9,53,3.5,234,0.0
2016-12-28,C0F9Y0,winter,4.9,99,2.8,203,11.0
2016-12-29,C0F9Y0,winter,3.5,69,2.8,267,3.5
2016-12-30,C0F9Y0,winter,4.6,73,2.6,231,0.0
2016-12-31,C0F9Y0,winter,5.6,64,2.6,202,0.0
2017-01-01,C0F9Y0,winter,8.8,17,1.6,315,0.0
2017-01-02,C0F9Y0,winter,8.0,38,2.2,337,0.0
2017-01-03,C0F9Y0,winter,7.0,46,1.7,318,0.0
2017-01-04,C0F9Y0,winter,7.3,56,1.3,1,0.0
2017-01-05,C0F9Y0,winter,7.7,56,1.4,288,0.0
2017-01-06,C0F9Y0,winter,7.2,48,2.3,206,0.0
2017-01-07,C0F9Y0,winter,7.0,56,3.8,224,0.0
2017-01-08,C0F9Y0,winter,3.6,77,3.8,223,0.0
2017-01-09,C0F9Y0,winter,2.7,66,2.7,58,0.0
2017-01-10,C0F9Y0,winter,5.1,25,3.0,263,0.0
2017-01-11,C0F9Y0,winter,5.3,35,2.1,230,0.0
2017-01-12,C0F9Y0,winter,5.0,82,4.1,241,0.0
2017-01-13,C0F9Y0,winter,5.0,93,4.9,267,20.5
2017-01-14,C0F9Y0,winter,2.4,95,5.2,236,5.0
2017-01-15,C0F9Y0,winter,-0.4,96,4.9,270,4.5
2017-01-16,C0F9Y0,winter,-0.4,85,3.3,209,2.0
2017-01-17,C0F9Y0,winter,0.4,81,3.2,245,0.0
2017-01-18,C0F9Y0,winter,2.8,67,3.5,244,0.0
2017-01-19,C0F9Y0,winter,2.5,75,3.5,240,0.0
2017-01-20,C0F9Y0,winter,4.2,45,5.5,235,0.0
2017-01-21,C0F9Y0,winter,0.6,64,6.8,239,0.0
2017-01-22,C0F9Y0,winter,-0.2,81,4.0,223,0.0
2017-01-23,C0F9Y0,winter,0.0,83,3.3,233,0.0
2017-01-24,C0F9Y0,winter,-1.3,88,3.5,223,0.0
2017-01-25,C0F9Y0,winter,-2.1,85,3.3,242,0.0
2017-01-26,C0F9Y0,winter,-1.2,25,2.2,205,1.5
2017-01-27,C0F9Y0,winter,5.2,15,2.7,218,0.0
2017-01-28,C0F9Y0,winter,8.1,15,3.8,215,0.0
2017-01-29,C0F9Y0,winter,7.6,43,3.7,213,0.0
2017-01-30,C0F9Y0,winter,2.4,93,1.9,219,0.0
2017-01-31,C0F9Y0,winter,5.5,65,3.3,213,0.0
2017-02-01,C0F9Y0,winter,3.2,96,3.3,258,2.0
2017-02-02,C0F9Y0,winter,2.2,71,2.1,259,0.0
2017-02-03,C0F9Y0,winter,3.4,47,1.6,343,0.0
2017-02-04,C0F9Y0,winter,2.3,67,2.3,212,0.0
2017-02-05,C0F9Y0,winter,2.1,71,1.9,209,0.0
2017-02-06,C0F9Y0,winter,4.3,45,1.7,5,0.0
2017-02-07,C0F9Y0,winter,5.0,33,2.4,203,0.0
2017-02-08,C0F9Y0,winter,0.9,85,2.5,244,0.5
2017-02-09,C0F9Y0,winter,-0.6,71,3.8,229,0.5
2017-02-10,C0F9Y0,winter,-1.6,63,4.6,256,0.0
2017-02-11,C0F9Y0,winter,-3.4,94,5.6,247,0.0
2017-02-12,C0F9Y0,winter,-3.2,90,3.3,200,0.0
2017-02-13,C0F9Y0,winter,-2.8,47,1.2,4,0.0
2017-02-14,C0F9Y0,winter,0.6,28,1.9,10,0.0
2017-02-15,C0F9Y0,winter,3.5,25,3.0,221,0.0
2017-02-16,C0F9Y0,winter,5.8,25,3.8,232,0.0
2017-02-17,C0F9Y0,winter,6.6,31,3.8,250,0.0
2017-02-18,C0F9Y0,winter,3.5,50,1.9,257,0.0
2017-02-19,C0F9Y0,winter,5.4,27,3.3,224,0.0
2017-02-20,C0F9Y0,winter,4.3,86,3.6,208,0.0
2017-02-21,C0F9Y0,winter,6.0,70,2.5,213,0.0
2017-02-22,C0F9Y0,winter,4.8,95,3.8,219,15.0
2017-02-23,C0F9Y0,winter,4.6,72,4.8,238,0.0
2017-02-24,C0F9Y0,winter,3.0,91,5.6,246,8.5
2017-02-25,C0F9Y0,winter,2.0,99,4.5,226,12.0
2017-02-26,C0F9Y0,winter,1.1,92,4.8,219,12.0
2017-02-27,C0F9Y0,winter,1.1,86,4.7,256,0.0
2017-02-28,C0F9Y0,winter,0.0,92,4.0,254,0.0
2017-03-01,C0F9Y0,spring,0.2,92,4.2,239,2.5
2017-03-02,C0F9Y0,spring,0.0,56,3.2,236,0.0
2017-03-03,C0F9Y0,spring,-0.7,70,3.5,246,0.0
2017-03-04,C0F9Y0,spring,0.3,88,3.9,234,0.0
2017-03-05,C0F9Y0,spring,2.2,81,4.1,235,0.0
2017-03-06,C0F9Y0,spring,2.0,93,4.0,248,16.5
2017-03-07,C0F9Y0,spring,0.9,100,4.3,244,17.0
2017-03-08,C0F9Y0,spring,0.0,100,4.9,295,28.5
2017-03-09,C0F9Y0,spring,0.3,100,3.9,299,22.0
2017-03-10,C0F9Y0,spring,2.9,100,5.2,220,7.5
2017-03-11,C0F9Y0,spring,3.4,88,4.5,287,0.5
2017-03-12,C0F9Y0,spring,4.5,94,4.0,261,0.0
2017-03-13,C0F9Y0,spring,6.0,89,5.1,266,0.0
2017-03-14,C0F9Y0,spring,4.3,99,4.4,257,47.0
2017-03-15,C0F9Y0,spring,2.6,91,4.9,296,0.0
2017-03-16,C0F9Y0,spring,2.7,98,4.5,301,38.0
2017-03-17,C0F9Y0,spring,4.3,82,3.4,268,9.5
2017-03-18,C0F9Y0,spring,4.5,89,2.5,226,0.0
2017-03-19,C0F9Y0,spring,5.4,89,2.3,230,0.5
2017-03-20,C0F9Y0,spring,6.8,76,3.2,216,0.0
2017-03-21,C0F9Y0,spring,6.1,72,3.5,242,0.0
2017-03-22,C0F9Y0,spring,7.3,60,4.5,219,0.0
2017-03-23,C0F9Y0,spring,4.3,75,5.1,238,4.5
2017-03-24,C0F9Y0,spring,6.0,43,4.7,239,0.0
2017-03-25,C0F9Y0,spring,3.3,94,4.2,232,12.0
2017-03-26,C0F9Y0,spring,0.1,89,3.4,249,65.5
2017-03-27,C0F9Y0,spring,1.5,29,2.2,299,0.0
2017-03-28,C0F9Y0,spring,5.9,41,2.5,225,0.0
2017-03-29,C0F9Y0,spring,5.3,71,3.2,231,0.0
2017-03-30,C0F9Y0,spring,6.6,68,3.3,231,0.0
2017-03-31,C0F9Y0,spring,5.2,82,4.7,231,6.5
2017-04-01,C0F9Y0,spring,,69,4.7,323,17.5
2017-04-02,C0F9Y0,spring,0.5,19,2.1,350,0.0
2017-04-03,C0F9Y0,spring,5.6,19,1.9,347,0.0
2017-04-04,C0F9Y0,spring,8.6,47,1.7,203,0.0
2017-04-05,C0F9Y0,spring,9.0,40,1.6,288,0.0
2017-04-06,C0F9Y0,spring,7.8,66,1.5,140,0.0
2017-04-07,C0F9Y0,spring,4.9,89,4.6,228,12.5
2017-04-08,C0F9Y0,spring,6.7,74,2.2,211,0.0
2017-04-09,C0F9Y0,spring,6.8,84,4.4,248,0.0
2017-04-10,C0F9Y0,spring,7.7,75,5.7,239,0.0
2017-04-11,C0F9Y0,spring,6.9,88,5.5,233,5.5
2017-04-12,C0F9Y0,spring,6.7,92,4.5,247,14.0
2017-04-13,C0F9Y0,spring,5.2,98,3.5,243,38.5
2017-04-14,C0F9Y0,spring,6.7,72,2.8,242,0.0
2017-04-15,C0F9Y0,spring,8.5,55,2.2,207,0.0
2017-04-16,C0F9Y0,spring,8.0,83,2.4,216,0.0
2017-04-17,C0F9Y0,spring,8.8,61,4.3,231,0.0
2017-04-18,C0F9Y0,spring,7.4,88,4.4,267,0.0
2017-04-19,C0F9Y0,spring,8.1,87,3.1,202,0.0
2017-04-20,C0F9Y0,spring,6.6,90,4.9,223,9.0
2017-04-21,C0F9Y0,spring,7.0,89,4.1,246,25.5
2017-04-22,C0F9Y0,spring,5.4,98,5.6,231,80.5
2017-04-23,C0F9Y0,spring,5.1,98,4.1,231,11.0
2017-04-24,C0F9Y0,spring,5.5,98,2.7,213,5.0
2017-04-25,C0F9Y0,spring,6.9,87,2.2,215,0.5
2017-04-26,C0F9Y0,spring,6.4,99,3.0,231,5.0
2017-04-27,C0F9Y0,spring,6.1,99,4.1,240,59.5
2017-04-28,C0F9Y0,spring,4.5,78,4.8,257,3.5
2017-04-29,C0F9Y0,spring,5.9,36,2.3,274,0.0
2017-04-30,C0F9Y0,spring,7.6,49,3.5,240,0.0
2017-05-01,C0F9Y0,spring,7.7,73,3.3,247,0.0
2017-05-02,C0F9Y0,spring,6.8,92,3.2,222,0.0
2017-05-03,C0F9Y0,spring,7.3,86,1.9,227,0.5
2017-05-04,C0F9Y0,spring,8.2,79,1.6,208,0.0
2017-05-05,C0F9Y0,spring,8.7,83,1.7,212,1.0
2017-05-06,C0F9Y0,spring,8.2,80,1.8,207,0.5
2017-05-07,C0F9Y0,spring,7.9,74,1.7,248,0.0
2017-05-08,C0F9Y0,spring,7.7,88,3.0,223,0.0
2017-05-09,C0F9Y0,spring,7.3,74,3.0,225,0.5
2017-05-10,C0F9Y0,spring,9.9,49,1.7,226,0.0
2017-05-11,C0F9Y0,spring,9.9,58,2.4,213,0.0
2017-05-12,C0F9Y0,spring,9.4,65,3.6,218,0.0
2017-05-13,C0F9Y0,spring,6.3,91,4.8,230,16.5
2017-05-14,C0F9Y0,spring,6.4,93,3.0,223,0.0
2017-05-15,C0F9Y0,spring,7.2,92,2.6,192,25.0
2017-05-16,C0F9Y0,spring,7.7,100,2.9,213,60.0
2017-05-17,C0F9Y0,spring,6.7,99,2.8,221,13.5
2017-05-18,C0F9Y0,spring,7.3,61,2.3,211,0.0
2017-05-19,C0F9Y0,spring,8.0,90,1.5,211,22.5
2017-05-20,C0F9Y0,spring,8.4,99,1.6,4,27.0
2017-05-21,C0F9Y0,spring,8.5,79,1.6,282,0.0
2017-05-22,C0F9Y0,spring,9.0,66,1.9,245,0.0
2017-05-23,C0F9Y0,spring,9.5,91,1.9,243,0.5
2017-05-24,C0F9Y0,spring,9.2,98,1.7,212,21.0
2017-05-25,C0F9Y0,spring,9.3,99,2.1,205,27.0
2017-05-26,C0F9Y0,spring,8.7,100,2.1,205,17.0
2017-05-27,C0F9Y0,spring,8.3,99,2.3,222,27.0
2017-05-28,C0F9Y0,spring,8.5,99,2.2,221,9.0
2017-05-29,C0F9Y0,spring,9.2,97,2.1,222,6.5
2017-05-30,C0F9Y0,spring,9.6,100,2.2,213,33.5
2017-05-31,C0F9Y0,spring,9.1,83,4.2,233,0.5
